"AI assistant","AI assistant"
"AI is processing your request","AI is processing your request"
"Please fill in the product name and description for at least one locale","Please fill in the product name and description for at least one locale"
"Please fill in the product image url","Please fill in the product image url"
"Try again","Try again"
"Please fill in text to translate","Please fill in text to translate"
Apply,Apply
"Translate to:","Translate to:"
